dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,150,100.0,0.5756305078210605,150
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.3900401961726936,21
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,108,95.57522123893806,0.28755457721881483,113
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,2,28.571428571428573,-0.014042141659973343,7
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,140,84.84848484848484,0.07486687916117518,165
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,29,70.73170731707317,0.025819371761319328,41
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,142,92.81045751633987,0.10642130885215327,153
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,144,79.12087912087912,0.14609675877895772,182
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,6,9.836065573770492,-0.03861714401661501,61
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,1,20.0,-0.018897041642290693,5
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,88,56.05095541401274,0.004255624049863101,157
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.07493213757956929,4
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,2,25.0,-0.03345490297174285,8
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,14,66.66666666666667,0.03621271806394636,21
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,147,91.875,0.20922903686161964,160
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,6,18.181818181818183,-0.055751388103063786,33
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,37,61.666666666666664,0.014197245606155469,60
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,159,96.95121951219512,0.14965515551439934,164
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.10023765089016526,2
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,121,98.3739837398374,0.17257613701402377,123
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.12379428754511987,1
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.1270472039401277,1
