dataset,seed,task,contrast,metric,difference_pp
ISIC,1993,3,C1-C0,current,3.274428274428274
ISIC,1994,3,C1-C0,current,1.3513513513513544
ISIC,1995,3,C1-C0,current,0.0
ISIC,1993,3,C1-C0,tail,1.9230769230769198
ISIC,1994,3,C1-C0,tail,-8.333333333333336
ISIC,1995,3,C1-C0,tail,-3.846153846153854
ISIC,1993,3,C1-C0,HM,1.1290841698510121
ISIC,1994,3,C1-C0,HM,-3.904644654542153
ISIC,1995,3,C1-C0,HM,-0.9025903550585355
ISIC,1993,3,C2-C0,BA,3.176814670717107
ISIC,1994,3,C2-C0,BA,3.789501807794494
ISIC,1995,3,C2-C0,BA,7.976835568298981
ISIC,1993,3,C2-C0,old,8.923226164079821
ISIC,1994,3,C2-C0,old,12.226021753460778
ISIC,1995,3,C2-C0,old,15.277712152712155
ISIC,1993,3,C2-C0,current,-8.316008316008308
ISIC,1994,3,C2-C0,current,-13.083538083538087
ISIC,1995,3,C2-C0,current,-6.624917600527361
ISIC,1993,3,C2-C0,tail,3.8461538461538396
ISIC,1994,3,C2-C0,tail,12.5
ISIC,1995,3,C2-C0,tail,-3.846153846153854
ISIC,1993,3,C2-C0,HM,1.9832426850515503
ISIC,1994,3,C2-C0,HM,5.005887322461142
ISIC,1995,3,C2-C0,HM,3.2323285979460508
ISIC,1993,3,C3-C0,BA,3.176814670717107
ISIC,1994,3,C3-C0,BA,2.9764936777131936
ISIC,1995,3,C3-C0,BA,7.976835568298981
ISIC,1993,3,C3-C0,old,8.923226164079821
ISIC,1994,3,C3-C0,old,11.006509558338827
ISIC,1995,3,C3-C0,old,15.277712152712155
ISIC,1993,3,C3-C0,current,-8.316008316008308
ISIC,1994,3,C3-C0,current,-13.083538083538087
ISIC,1995,3,C3-C0,current,-6.624917600527361
ISIC,1993,3,C3-C0,tail,3.8461538461538396
ISIC,1994,3,C3-C0,tail,12.5
ISIC,1995,3,C3-C0,tail,-3.846153846153854
ISIC,1993,3,C3-C0,HM,1.9832426850515503
ISIC,1994,3,C3-C0,HM,4.245647488913917
ISIC,1995,3,C3-C0,HM,3.2323285979460508
ISIC,1993,3,interaction,BA,-1.0914760914760961
ISIC,1994,3,interaction,BA,1.80555555555555
ISIC,1995,3,interaction,BA,1.0955710955711027
ISIC,1993,3,interaction,old,0.0
ISIC,1994,3,interaction,old,3.384009009009013
ISIC,1995,3,interaction,old,1.6433566433566469
ISIC,1993,3,interaction,current,-3.274428274428274
ISIC,1994,3,interaction,current,-1.3513513513513544
ISIC,1995,3,interaction,current,0.0
ISIC,1993,3,interaction,tail,-1.9230769230769198
ISIC,1994,3,interaction,tail,8.333333333333336
ISIC,1995,3,interaction,tail,3.846153846153854
ISIC,1993,3,interaction,HM,-1.1290841698510121
ISIC,1994,3,interaction,HM,3.1444048209949287
ISIC,1995,3,interaction,HM,0.9025903550585355
ISIC,1993,3,C2-P,BA,3.8692538692538676
ISIC,1994,3,C2-P,BA,2.1761534261534266
ISIC,1995,3,C2-P,BA,3.7459049959049935
ISIC,1993,3,C2-P,old,4.166666666666664
